epoch,acc
1,0.0018000000000000238
2,0.0021999999999999797
3,0.0038000000000000256
4,0.01319999999999999
5,0.022800000000000042
6,0.030399999999999983
7,0.03359999999999996
8,0.05059999999999998
9,0.07720000000000005
10,0.10340000000000005
11,0.13080000000000003
12,0.15600000000000003
13,0.17079999999999995
14,0.18320000000000003
15,0.19999999999999996
16,0.22019999999999995
17,0.1904
18,0.251
19,0.29579999999999995
20,0.3002
21,0.31520000000000004
22,0.32720000000000005
23,0.34319999999999995
24,0.2952
25,0.3518
